Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-201.75627	120.69353	-35.190426	-508.13913	-98.85689	119.72538	155.8451	-287.04135	103.541664	244.1	4999	-4.975201	22.158691	26.610558	-231.14973	3.4575243	37.50568	41.87900710105896
2	-212.9657	116.44921	0.57199425	-420.61115	16.326702	70.83191	218.02821	-48.47782	128.3077	879.5	9999	-12.042842	45.891727	65.05023	-259.91785	9.863472	33.659904	149.0951657295227
3	-111.128685	42.082012	-42.765438	-189.50177	-120.67202	34.476986	-91.42675	-213.20834	556.44446	675.7	14999	3.7030282	53.916317	105.0283	-253.25046	-6.2432766	29.20565	216.82723760604858
4	-82.86618	39.274544	-16.186615	-139.78961	-70.666595	23.607372	-39.32834	-129.0057	622.0	776.2	19999	22.943348	55.542553	126.747314	-246.19354	-25.046967	20.339563	283.5702221393585
5	-100.1206	38.245113	-36.949005	-172.42113	-109.5895	23.958658	-72.45547	-151.75195	348.57144	272.7	24999	32.419434	53.02696	128.88628	-252.73236	-34.10756	17.849968	331.0262632369995
6	-117.635254	45.27641	-15.866652	-208.76825	-7.8493056	20.4786	25.95071	-53.733997	334.6	1000.0	29999	33.616783	49.11727	133.5515	-250.28683	-35.09418	20.31857	402.2012982368469
7	-46.844627	26.675678	-13.463587	-89.628494	-6.695452	19.007763	22.605696	-36.55161	1000.0	1000.0	34999	36.96022	46.882072	150.95566	-245.04887	-38.537537	19.870338	481.7816665172577
8	-28.781567	61.07173	28.45118	-110.856544	-32.688805	31.19193	19.59032	-82.97395	1000.0	1000.0	39999	43.78632	45.58114	166.6297	-249.51439	-45.53929	20.472029	554.5786900520325
9	-15.814113	13.149054	3.1529639	-32.104973	-27.560999	15.616069	5.9335203	-51.904358	1000.0	1000.0	44999	51.011246	44.93918	166.08063	-288.15646	-52.659855	21.562965	636.6172633171082
10	-45.930225	36.47072	11.345951	-105.34494	-51.15149	58.713383	-0.8602705	-203.96829	773.0	834.8	49999	53.29833	44.4797	166.21306	-246.93848	-54.641743	20.405926	729.3695230484009
11	-80.63545	34.82202	-40.230232	-129.36337	-34.3327	32.690468	15.677609	-95.06533	909.1667	913.2	54999	51.847076	42.954784	167.1419	-263.47137	-53.108925	19.408997	823.3942978382111
12	-57.480335	24.56875	-14.076425	-79.10799	-39.510517	23.782532	-2.025685	-64.45047	1000.0	1000.0	59999	51.646896	40.752323	164.90414	-274.12747	-52.819813	17.829853	894.6382577419281
13	-103.503296	50.26473	-47.69935	-181.71046	-108.06311	58.004322	-7.1580024	-194.85716	842.4	649.5	64999	51.560497	39.076355	158.28673	-329.31357	-52.759964	16.905964	959.4781098365784
14	-143.95932	75.67107	20.715948	-230.65776	-93.09887	38.40564	-33.49662	-158.40063	678.25	324.8	69999	54.25096	38.76185	165.15262	-359.44073	-55.67995	17.51875	1005.8407309055328
15	-63.718678	42.771126	-8.650456	-116.2735	-63.83305	28.895828	-16.986246	-107.00734	895.1667	922.7	74999	60.331734	39.10947	180.09499	-329.1228	-61.76673	18.811405	1079.253619670868
16	-58.756397	21.75736	-25.721184	-87.26465	-39.33538	19.269178	-10.895746	-64.12634	1000.0	1000.0	79999	66.79851	39.956196	189.05138	-316.83307	-68.28106	16.514019	1168.7708411216736
17	-35.26114	19.029388	-4.1853304	-56.533657	-15.695371	14.432509	13.423003	-36.01701	1000.0	875.6	84999	74.3532	39.846893	191.1008	-260.0642	-75.8539	15.715719	1242.1294283866882
18	-52.60554	24.190807	-27.93087	-88.95862	-68.346146	21.91567	-40.908745	-107.84011	1000.0	1000.0	89999	78.719246	38.757614	237.8433	-235.62033	-80.18331	17.220116	1312.5669994354248
19	-91.64964	10.962148	-72.24445	-104.522	-91.65659	14.492531	-69.9412	-109.69531	1000.0	1000.0	94999	82.12285	36.306183	240.22482	-260.71564	-83.50413	18.43069	1396.9612135887146
20	-89.179695	63.45167	-36.97325	-216.7166	-112.3917	19.954676	-92.63697	-152.44426	669.8571	290.4	99999	82.18713	34.898304	240.02583	-240.34946	-83.45031	17.759644	1440.3331763744354
21	-120.41311	78.771484	-33.879475	-238.33856	-19.799166	13.267517	3.030639	-44.14286	816.6667	1000.0	104999	80.20945	34.551655	237.37715	-229.61807	-81.30792	20.263315	1512.0739080905914
22	-70.92948	64.36619	-8.345822	-191.51486	-29.936787	23.760418	1.3464004	-72.83763	963.2	1000.0	109999	76.41558	33.637207	234.93144	-249.48936	-77.51899	18.758846	1583.1660523414612
23	-48.19865	16.92169	-25.138355	-71.92186	-61.82765	24.266237	-22.15091	-102.13219	1000.0	1000.0	114999	74.94513	32.375397	229.51706	-241.08435	-76.04722	15.895047	1647.4691576957703
24	-104.086365	40.145626	-30.669285	-176.72426	-94.02617	16.140331	-64.501785	-117.77541	670.5	359.2	119999	72.24444	32.55006	211.64934	-271.52792	-73.31511	15.418628	1692.711173772812
25	-129.7258	28.460552	-61.23747	-184.08383	-132.67633	31.099556	-100.73231	-189.96375	252.65	200.3	124999	73.19679	34.001003	237.55948	-270.85727	-74.45428	16.405434	1726.2409029006958
26	-135.12755	59.68641	9.769571	-212.48462	-17.428417	32.866142	50.15164	-73.89143	216.0	748.6	129999	71.8206	35.358875	241.21516	-258.34073	-72.82303	16.769756	1773.1609058380127
27	-20.729586	28.408752	31.043768	-58.311764	-71.46455	55.513145	-3.3461375	-159.17914	588.55554	596.2	134999	68.899956	34.640377	230.2874	-258.102	-70.050224	15.153167	1825.6839237213135
28	-10.802555	27.036194	7.1030436	-69.7849	1.2398363	22.771467	39.92612	-32.88773	725.5	923.1	139999	73.81428	36.84438	233.35999	-258.40253	-75.39356	14.912702	1889.9730892181396
29	-9.619052	29.067722	23.95402	-47.852913	-41.945038	27.346558	5.5543876	-86.352264	1000.0	1000.0	144999	88.41129	37.63865	245.58287	-253.89127	-90.551	18.095705	1953.738275051117
30	-69.968315	47.687897	-13.434399	-145.20341	-143.02391	18.105278	-115.81182	-178.9395	925.0	633.4	149999	110.91212	40.16431	275.52106	-250.86311	-113.39217	20.74115	2007.6156344413757
31	-99.712456	62.686016	-13.656519	-176.47253	-27.844294	18.273767	4.0527654	-59.378548	773.6667	1000.0	154999	131.03163	46.36005	310.26743	-337.51013	-133.53235	25.029062	2072.7249794006348
32	-65.97453	25.779964	-32.73142	-100.01474	-111.161545	16.6268	-75.88329	-139.57913	1000.0	391.0	159999	144.50407	53.695442	347.71097	-312.9931	-146.70752	27.083994	2114.775250196457
33	-124.6152	38.642025	-49.51393	-188.50099	-88.17494	12.821638	-64.2036	-108.62336	559.44446	838.3	164999	143.48955	56.349865	350.08774	-304.59494	-145.09837	31.199966	2164.0033123493195
34	-140.51566	44.732857	-74.1705	-208.44185	-97.08007	30.384895	-44.34262	-141.02301	629.625	779.6	169999	133.12549	52.230545	316.17978	-362.3538	-134.57968	29.716337	2219.242238521576
35	-160.85869	80.35865	-56.75646	-300.02386	-234.3417	52.4723	-161.25163	-343.02515	790.5	327.5	174999	124.831	46.362995	277.97128	-297.1282	-126.07392	27.624172	2259.9124054908752
36	-194.52008	80.067924	-82.04641	-418.3623	-80.43426	28.19402	-45.739613	-135.91852	304.3889	538.7	179999	110.6731	38.68666	256.98853	-379.72037	-111.5496	32.935947	2300.090361595154
37	-106.77941	66.18131	-18.381945	-251.80496	-108.702675	34.407112	-66.75949	-177.46013	473.18182	603.4	184999	95.4121	33.06472	232.49135	-446.15048	-96.26079	29.312971	2345.8176925182343
38	-91.8676	33.710762	-21.370594	-143.71198	-46.848526	38.905304	27.740528	-104.427956	544.3333	963.9	189999	85.406654	32.71974	219.976	-344.71127	-86.398575	21.914356	2402.0384283065796
39	-35.44354	61.215286	40.933018	-142.23943	-114.10006	72.90151	-6.002406	-238.9889	797.3333	403.6	194999	77.93327	34.931335	214.38669	-287.81754	-78.91342	18.700775	2444.5389635562897
40	-115.17798	76.23326	31.857088	-219.5217	-92.56246	55.82611	-10.698875	-174.11102	484.9	371.1	199999	73.861755	37.5438	198.42175	-323.83194	-74.93479	16.540934	2487.076169013977
41	-122.01605	29.628178	-79.08562	-161.92091	-94.530045	20.416695	-50.889664	-119.58564	889.0	1000.0	204999	68.81624	37.872765	193.542	-276.19757	-69.6539	14.595444	2543.3922510147095
42	-98.61283	28.661604	-60.794544	-132.7523	-96.7093	15.773527	-75.08205	-125.10101	1000.0	1000.0	209999	63.049183	36.16959	191.31972	-270.684	-63.93936	13.864212	2603.67804646492
43	-86.75551	18.088554	-68.57183	-111.99861	-91.012985	18.931036	-67.96839	-120.28036	1000.0	1000.0	214999	60.79422	32.943142	191.37805	-253.33272	-61.67541	14.423505	2660.7770159244537
44	-106.7114	13.687824	-88.64836	-127.39422	-146.08624	37.209576	-82.534225	-202.5684	724.8333	326.1	219999	56.610615	31.186886	187.18803	-242.70256	-57.377636	14.820232	2706.102760076523
45	-52.42935	48.643845	63.14481	-109.86478	175.79837	45.84074	257.73535	72.683815	732.625	429.0	224999	55.459087	27.273632	157.87775	-328.13083	-56.465687	13.990383	2752.149666070938
46	112.031624	113.48432	254.5866	-82.187904	110.33586	85.7273	205.21341	-40.858147	397.75	660.3	229999	58.957264	25.787266	154.23502	-287.2329	-60.009026	14.8794	2798.4953916072845
47	91.7096	121.71467	248.02565	-59.09353	144.17908	104.98045	236.9519	-126.00083	724.8571	558.4	234999	61.807774	25.997038	157.95944	-332.05573	-62.86532	14.5068655	2842.4754531383514
48	76.59261	136.11105	288.57144	-101.78792	123.082275	100.76253	274.87766	-23.148918	379.58334	362.9	239999	64.982216	26.03695	170.415	-285.1874	-66.01764	15.686563	2884.3452928066254
49	220.59344	50.14992	276.8591	134.29044	201.40347	70.1672	294.8833	15.579439	605.625	329.2	244999	66.07036	25.820354	175.23277	-268.19916	-67.069084	17.052578	2926.0797550678253
50	128.68216	92.61742	245.69508	-20.69578	24.13754	64.26928	156.7831	-37.995712	701.375	864.1	249999	67.879654	23.112087	181.35762	-261.69852	-68.90852	16.767548	2982.4993908405304
51	152.51491	85.20008	218.54457	-74.981	108.694595	120.82861	252.11507	-55.758106	537.2222	514.0	254999	68.33305	21.955343	186.30475	-238.95029	-69.2975	18.48821	3036.9237508773804
52	130.90643	100.76814	237.64767	-32.49173	188.939	52.966885	259.20963	84.802826	515.7	499.4	259999	67.64721	23.07949	183.13893	-297.89142	-68.56537	15.952909	3086.322164297104
53	168.11972	70.38482	236.34511	-5.982541	174.31757	60.667297	227.45482	6.252829	507.1	642.8	264999	66.327255	24.863134	178.70702	-278.4451	-67.228294	15.189853	3143.0102055072784
54	146.60762	109.58907	275.4183	-68.962364	-22.46413	11.850687	-6.1663795	-41.86125	727.1667	1000.0	269999	64.82826	25.520638	174.57289	-305.68698	-65.699486	14.02904	3213.152999162674
55	82.00344	117.42612	233.47388	-70.96286	220.91182	18.319523	261.32874	197.01721	600.8889	420.1	274999	64.77146	25.195303	189.44716	-357.28247	-65.732834	14.814778	3259.92675614357
56	84.427574	124.29776	273.20798	-86.80799	202.68211	29.824673	243.29822	143.39886	636.0	455.8	279999	66.62144	25.618052	197.03938	-352.51486	-67.654434	15.636254	3336.8708674907684
57	154.29515	112.20907	254.59216	-42.71572	43.160828	68.08231	238.92651	-4.23493	707.0	948.6	284999	69.94719	26.121119	203.99385	-319.67453	-71.06475	16.374802	3422.285944700241
58	-21.569801	20.588266	1.4297311	-50.02728	-15.266813	13.785732	12.357147	-40.37191	1000.0	1000.0	289999	73.51692	26.344126	213.88351	-303.22754	-74.650475	18.020866	3524.80806684494
