Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-225.0992	118.79287	31.893744	-427.5384	-1095.6086	261.96753	-778.27686	-1573.0865	101.625	88.4	4999	-1.1902885	16.471033	42.060226	-204.54962	-1.3236675	56.4751	11.10420036315918
2	-213.44214	119.88513	13.152178	-414.70502	-63.654858	16.79321	-37.370472	-86.31945	132.02632	1000.0	9999	-0.9389124	50.237873	172.17595	-338.1195	-1.1074594	67.79764	64.67260479927063
3	-212.89153	126.481125	-29.007875	-370.89502	-170.63184	102.40355	17.885134	-291.038	612.1429	650.7	14999	28.752182	56.86795	237.13087	-305.46655	-32.496628	48.584354	104.08598756790161
4	-132.53091	97.00144	-17.45442	-351.64548	-221.62039	104.17327	-70.13139	-374.8758	684.375	365.4	19999	58.749557	58.501102	277.4852	-198.50597	-61.751644	43.381214	129.6624813079834
5	-212.79706	57.67918	-81.09158	-314.60278	-213.00009	42.267	-114.80219	-284.17813	328.625	337.8	24999	75.39986	68.87935	289.6297	-188.26675	-78.03135	42.691208	150.67038822174072
6	-99.87801	72.00389	-29.379694	-196.50362	-81.30917	48.791115	-36.041496	-200.12383	829.1667	945.1	29999	81.299644	73.45005	290.24774	-191.54068	-83.655	39.206	195.7713224887848
7	-75.03343	43.3385	-31.345556	-159.26945	-30.609966	18.75079	-1.7182331	-62.035065	811.6667	1000.0	34999	87.50509	71.30075	303.55597	-208.10875	-89.561424	35.32784	243.15543484687805
8	-80.32518	34.73228	-32.14373	-138.30678	-57.867268	31.918684	-17.387556	-131.54724	1000.0	997.2	39999	94.46404	65.184425	327.72574	-204.90047	-96.68386	30.17211	285.92187309265137
9	-67.96305	14.0499	-49.641426	-88.88143	-84.41615	22.268324	-46.546547	-116.696236	1000.0	1000.0	44999	102.38705	59.26338	342.13474	-226.6666	-104.5554	26.115509	338.32504987716675
10	-113.41305	50.211296	-50.083725	-190.89482	-139.39857	48.844784	-66.28642	-220.91968	796.3333	497.5	49999	107.44265	55.462776	343.5363	-226.64539	-109.48737	27.684946	368.2863459587097
11	-135.58186	51.284912	-43.50468	-212.67683	-147.08401	29.30675	-102.1028	-202.8234	859.0	418.6	54999	108.45003	52.841686	340.3253	-211.38948	-110.313385	28.30321	396.28042125701904
12	-121.51454	87.34795	-7.7304506	-254.02353	-169.93747	109.389114	-40.89397	-396.78986	621.5714	510.7	59999	107.17777	50.25481	310.5807	-235.77153	-109.02525	29.109076	424.3070833683014
