Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-32.80909	1.081496	-31.142822	-34.0229	-0.024691604	0.019265693	-0.0074201664	-0.06621903	999.0	999.0	3999	0.06025082	0.03027596	0.14345182	-0.0541648	-0.093552634	1.3608374e-05	25.758546352386475
2	-33.444565	0.49720997	-32.720947	-34.03066	-0.047224425	0.011475692	-0.019610519	-0.059000175	999.0	999.0	7999	0.044147167	0.031434175	0.095832	-0.07411403	-0.07729645	6.2513e-06	55.85463070869446
3	-40.90233	7.0900984	-33.50005	-49.61481	-0.0380774	0.01405627	-0.02140666	-0.06493624	999.0	999.0	11999	0.028064009	0.031929612	0.077952	-0.08603318	-0.061950255	4.741843e-06	89.93383121490479
4	-46.574627	1.2053334	-45.332474	-47.7874	-0.018178994	0.004636465	-0.0077098417	-0.021983033	999.0	999.0	15999	0.012366279	0.03477712	0.06380986	-0.09123536	-0.04957419	2.8669074e-06	118.1269588470459
5	-47.7451	0.8914697	-46.577694	-48.68061	-0.018009687	0.0056544966	-0.011599886	-0.02788342	999.0	999.0	19999	-7.47486e-05	0.03622157	0.051679973	-0.09857438	-0.03933545	1.6875672e-06	169.74868321418762
6	-46.536804	1.332021	-45.203808	-48.75256	-0.046953127	0.0059229764	-0.038948346	-0.05579672	999.0	999.0	23999	-0.008827765	0.036862426	0.043322887	-0.105415516	-0.032068353	1.298808e-06	199.01434683799744
7	-46.63132	0.98327464	-45.205566	-47.964157	-0.02011816	0.009718702	-0.011691603	-0.038270947	999.0	999.0	27999	-0.014475787	0.037294764	0.037476055	-0.11350468	-0.027349407	1.059415e-06	230.23796153068542
8	-47.712322	1.0962853	-46.38212	-49.224365	-0.010189627	0.005835859	-0.0023051233	-0.017553141	999.0	999.0	31999	-0.01751903	0.03758511	0.035839014	-0.107116066	-0.025082672	9.280705e-07	259.8152289390564
9	-48.249165	1.0038972	-47.41468	-49.961517	-0.08675035	0.00069787516	-0.08620568	-0.08878267	999.0	999.0	35999	-0.01970528	0.037920866	0.030685475	-0.10727997	-0.023626259	7.018061e-07	289.49313020706177
10	-46.45295	0.9681488	-44.86973	-47.486874	-0.047152255	0.0065144356	-0.040816937	-0.062077694	999.0	999.0	39999	-0.021729583	0.038098406	0.030885797	-0.10342097	-0.022015551	6.915432e-07	319.6240088939667
