Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-32.711285	0.65939933	-31.77663	-33.62294	-0.058962096	0.014608153	-0.038043607	-0.081513084	999.0	999.0	3999	0.025700828	0.031255886	0.14961188	-0.07423361	-0.059289273	1.5967802e-05	12.821644306182861
2	-33.1252	1.2921045	-31.84341	-34.86901	-0.15968235	0.043152716	-0.11613022	-0.21464458	999.0	999.0	7999	0.020913236	0.030270912	0.068912044	-0.0636585	-0.05420022	3.2952034e-06	28.160957098007202
3	-40.43259	7.806931	-31.473206	-49.830994	-0.11778039	0.002477913	-0.113925636	-0.12093156	999.0	999.0	11999	0.012147519	0.030874474	0.055501208	-0.09184469	-0.045918807	2.7305966e-06	43.06625008583069
4	-46.578667	1.148018	-45.382668	-47.80126	-0.0110780625	0.003796704	-0.005818362	-0.017086638	999.0	999.0	15999	0.0012910707	0.03396065	0.046443302	-0.09520103	-0.038307037	2.2196273e-06	57.438379764556885
5	-47.789516	0.91882765	-46.593525	-48.751755	-0.019194093	0.009281549	-0.007412984	-0.032622978	999.0	999.0	19999	-0.007116835	0.03562188	0.038372852	-0.091067776	-0.032234054	1.4070389e-06	72.22747993469238
6	-46.546314	1.3052683	-45.21136	-48.70617	-0.017612288	0.0019866193	-0.01633285	-0.023313247	999.0	999.0	23999	-0.013098574	0.036618613	0.03365063	-0.099039525	-0.02767936	1.0776009e-06	86.59945392608643
7	-46.70387	1.039386	-45.17019	-48.072254	-0.016750127	0.0067450064	-0.009544584	-0.025753459	999.0	999.0	27999	-0.018216634	0.037238255	0.031666018	-0.09991258	-0.023472145	7.5728144e-07	101.28803038597107
8	-47.70074	1.0782682	-46.366493	-49.151	-0.006826134	0.0003376448	-0.0065363287	-0.007699114	999.0	999.0	31999	-0.022574337	0.03749271	0.025972316	-0.098923646	-0.019754307	5.7711327e-07	115.74684238433838
9	-48.25796	0.95734376	-47.520977	-49.901028	-0.0075667426	0.0039478843	-0.0024435949	-0.013688144	999.0	999.0	35999	-0.026296295	0.037805684	0.027975805	-0.100616544	-0.016795568	4.2608397e-07	130.13271951675415
10	-46.411736	0.94693035	-44.85546	-47.416367	-0.036990456	0.0017277882	-0.03535817	-0.041293655	999.0	999.0	39999	-0.029255362	0.038054567	0.025433252	-0.09856637	-0.0142947845	3.216975e-07	144.75501894950867
11	-48.228172	1.2108228	-47.057312	-49.965523	-0.010589605	0.00611705	-0.0026457568	-0.020698203	999.0	999.0	43999	-0.032032926	0.038232215	0.02027643	-0.100180626	-0.011820029	2.3015647e-07	159.27696776390076
12	-47.47274	0.88214976	-46.186012	-48.554184	-0.00954805	0.006630893	-0.00048445922	-0.019182561	999.0	999.0	47999	-0.034256455	0.03835495	0.015250582	-0.09862093	-0.010062494	1.8728532e-07	173.69924473762512
