Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-1168.223	264.42493	-866.632	-1732.2546	-290.32944	415.8015	-114.92942	-1519.3918	200.0	200.0	3999	-34.514694	27.926027	0.31357577	-115.2866	33.621464	10.930831	16.847437620162964
2	-1220.0085	277.82397	-800.1678	-1808.406	-726.0923	658.7747	-1.99762	-1418.2866	200.0	200.0	7999	-87.26724	33.2044	-5.1552415	-176.38538	84.38249	45.196213	38.67223334312439
3	-825.6664	639.2285	-1.855164	-1709.5503	-139.9907	79.66899	-0.9977829	-317.2182	200.0	200.0	11999	-106.7223	44.455704	18.193466	-213.5434	103.06638	64.66182	61.81441116333008
4	-156.14308	96.1397	-1.3130596	-357.23517	-153.5359	90.77581	-0.42240623	-360.86072	200.0	200.0	15999	-92.9641	56.988556	2.4755294	-221.73085	89.5976	56.886818	85.35958480834961
5	-175.05833	80.57604	-1.0726173	-351.12717	-131.62827	65.48019	-1.7088373	-244.37437	200.0	200.0	19999	-72.08896	67.38172	14.27313	-236.099	69.02918	46.093384	108.61515259742737
6	-136.85329	76.42046	-1.3388778	-252.41238	-186.093	84.40243	-114.23566	-334.08606	200.0	200.0	23999	-51.92417	69.77266	21.078026	-238.27974	49.27461	35.691097	131.87392926216125
7	-165.47623	72.07566	-114.19376	-342.75247	-97.80479	103.02886	-1.4206201	-358.75058	200.0	200.0	27999	-38.87652	66.168434	23.093246	-239.69211	36.688774	28.386303	154.96607875823975
8	-125.36334	75.07399	-5.9613094	-252.85182	-158.35928	99.84984	-8.301704	-330.91635	200.0	200.0	31999	-32.397034	61.908688	23.898043	-239.28156	30.424503	23.112003	178.36176538467407
9	-165.35133	74.34453	-7.406633	-337.68393	-157.47705	88.99515	-8.9019985	-354.81137	200.0	200.0	35999	-19.563116	63.985073	37.448418	-235.60718	17.229584	22.166945	204.61826848983765
10	-181.1047	93.31569	-7.40755	-343.314	-163.01411	91.51217	-9.551542	-362.7512	200.0	200.0	39999	-6.7900558	65.28516	44.722687	-232.83623	4.9507704	21.30317	229.21084666252136
11	-178.45616	85.158554	-9.6866665	-347.81207	-134.25342	99.74591	-10.476192	-312.89783	200.0	200.0	43999	-3.9520848	61.39767	41.606205	-229.16681	2.2593389	18.663597	253.63785648345947
12	-147.98865	80.67904	-3.7957	-276.17203	-134.77519	89.11053	-8.299402	-327.30173	200.0	200.0	47999	-4.4887495	57.744408	40.332733	-224.31012	3.2256389	17.598927	277.9460446834564
13	-133.75809	86.774216	-4.797146	-329.49902	-133.75505	63.789177	-3.7692811	-242.96979	200.0	200.0	51999	-4.77832	56.827484	36.620213	-222.29922	3.2460244	14.857959	301.32107162475586
14	-144.07338	75.17464	-3.9971159	-334.54276	-108.14419	80.36683	-3.1682162	-233.59393	200.0	200.0	55999	1.5091012	58.566734	48.294495	-223.2827	-3.2451613	16.690977	325.914350271225
15	-131.67746	77.21298	-3.3537428	-299.31454	-151.10056	71.626465	-3.0519965	-232.08583	200.0	200.0	59999	12.887073	61.503918	67.57231	-224.00426	-15.019297	20.855488	349.77326560020447
16	-166.1222	83.99717	-2.2614534	-338.50534	-135.99808	98.92491	-2.629071	-337.71707	200.0	200.0	63999	33.05384	65.88248	93.29123	-220.51141	-35.76504	32.3474	373.41551518440247
17	-200.24113	136.60124	-1.6599305	-634.59955	-415.37363	479.68796	-2.0526483	-1156.6824	200.0	200.0	67999	57.665546	70.00099	119.78504	-219.1565	-60.81687	50.59861	396.7945981025696
18	-198.20549	240.91757	-2.7388575	-1164.1182	-132.81451	96.27649	-3.0336134	-348.4077	200.0	200.0	71999	78.357574	68.92659	130.97702	-214.73643	-81.01596	66.73709	420.01645398139954
19	-158.28738	90.7026	-1.173823	-343.2276	-154.7309	75.22352	-2.238055	-241.81772	200.0	200.0	75999	84.94121	64.62897	140.41386	-201.95967	-87.86833	70.406006	443.05869150161743
20	-181.38783	91.64509	-0.2727194	-336.21298	-127.0573	71.3955	-9.938563	-237.7701	200.0	200.0	79999	102.22418	67.12656	148.49915	-188.71939	-104.95819	93.05555	466.23406887054443
21	-191.48457	88.54349	-7.4897056	-354.0275	-146.68065	69.0308	-5.6251264	-241.8213	200.0	200.0	83999	92.38152	57.722073	144.07214	-179.20424	-93.878235	70.44284	489.60956048965454
22	-158.14536	81.88179	-4.8616567	-335.5724	-184.49936	108.268074	-3.9210863	-348.53317	200.0	200.0	87999	79.78561	52.86476	125.0149	-173.35535	-81.58393	55.194103	513.1185975074768
23	-119.286964	88.93374	-2.918233	-352.58157	-157.84702	107.86223	-3.494637	-329.0871	200.0	200.0	91999	79.91228	56.187443	127.614494	-176.09152	-82.15236	54.757587	536.7112984657288
24	-173.69653	100.523476	-3.4582427	-350.99442	-115.65495	89.95356	-4.264099	-292.95975	200.0	200.0	95999	85.68298	58.836708	134.89276	-185.80025	-88.07012	64.50515	560.3031539916992
25	-146.93307	91.49344	-3.9110408	-317.8358	-120.280716	50.288216	-4.519753	-229.14928	200.0	200.0	99999	95.45277	61.371086	147.11148	-183.79932	-98.24359	80.17034	583.5988683700562
26	-125.92389	76.30081	-3.515838	-244.45508	-118.72982	98.51943	-2.937018	-327.46725	200.0	200.0	103999	106.97745	62.177364	152.74495	-180.58972	-109.69252	91.33755	606.5372190475464
27	-120.82719	71.64799	-4.029925	-237.41113	-129.72426	89.01671	-5.4379144	-319.3515	200.0	200.0	107999	114.92728	60.89878	160.8095	-175.44266	-117.547745	100.16467	629.829270362854
28	-154.7172	79.42647	-3.939299	-317.4515	-185.42072	62.998276	-120.42345	-281.70352	200.0	200.0	111999	120.15674	60.218887	165.20183	-168.63585	-122.99551	106.45556	653.1063363552094
29	-139.54025	84.32212	-4.399037	-348.97635	-156.28627	70.72234	-118.86763	-341.8165	200.0	200.0	115999	126.704	60.562576	170.94878	-161.33409	-129.52806	118.612175	676.1468694210052
30	-128.66179	94.16609	-3.8779209	-356.71213	-133.00719	61.275234	-4.830241	-236.73863	200.0	200.0	119999	132.04102	61.220665	178.7471	-159.51259	-134.8999	127.07222	699.389080286026
31	-104.00088	64.67522	-4.057237	-227.1267	-133.87267	30.112478	-119.84086	-223.87761	200.0	200.0	123999	139.53432	62.40032	190.33713	-156.79533	-142.63116	140.3801	723.1313574314117
32	-154.82784	79.9424	-3.0200832	-347.63116	-177.98837	105.522224	-3.8319595	-361.49106	200.0	200.0	127999	149.09837	64.268295	201.58456	-156.04733	-152.3921	145.99507	746.3068237304688
33	-135.93356	81.82805	-2.788536	-238.41562	-164.83118	51.30035	-118.65253	-230.14778	200.0	200.0	131999	157.32307	64.3098	207.48163	-153.3791	-160.49612	169.93228	769.6155767440796
34	-153.93199	69.051384	-2.9742672	-311.2455	-157.17154	53.318295	-120.90259	-246.03494	200.0	200.0	135999	164.29523	63.048264	211.21387	-150.1233	-167.53423	174.19084	793.6413547992706
35	-128.26196	88.887794	-5.576985	-339.31042	-148.0363	63.9018	-13.233207	-231.85153	200.0	200.0	139999	161.32198	57.905766	210.77753	-140.39265	-163.52345	170.55162	817.6006593704224
36	-123.47987	84.07553	-13.23278	-356.76727	-160.07275	82.83236	-14.360055	-334.15726	200.0	200.0	143999	135.74614	47.09893	194.93692	-129.60307	-136.76718	116.49626	840.8925487995148
37	-183.80748	81.07706	-14.312883	-358.42514	-182.8158	104.15819	-9.247974	-352.94022	200.0	200.0	147999	115.67911	42.03807	167.49698	-126.638954	-117.9822	88.13839	864.1013920307159
38	-162.27504	63.12137	-11.992871	-246.39508	-160.4349	82.38256	-11.47556	-317.07852	200.0	200.0	151999	125.8566	52.403584	182.1231	-146.33813	-129.04698	104.582985	887.9275512695312
39	-133.95181	82.435585	-1.0118835	-299.55157	-106.257835	96.7644	-0.41396952	-350.38232	200.0	200.0	155999	134.92976	56.30381	189.16725	-158.2644	-137.7105	122.85965	911.6028082370758
40	-130.88571	88.71594	-0.8883542	-239.62935	-119.40315	98.000206	-3.7607102	-317.17252	200.0	200.0	159999	140.08896	56.05633	192.29016	-158.84361	-142.89659	128.35497	934.8449015617371
41	-164.56482	81.10999	-3.9465363	-330.509	-118.78507	97.79932	-5.877843	-334.02466	200.0	200.0	163999	140.85057	52.98722	193.5231	-150.06721	-142.87169	130.5515	958.7205736637115
42	-162.08112	71.421684	-119.62408	-342.09686	-162.03116	72.67113	-122.26223	-351.2539	200.0	200.0	167999	119.81106	44.922142	169.36157	-140.69815	-120.96954	88.51821	982.0961258411407
43	-111.906876	66.779396	-10.41727	-250.97015	-104.75456	71.86245	-10.150411	-251.97292	200.0	200.0	171999	99.73729	40.344078	142.14359	-142.44907	-100.995735	64.74329	1005.5218708515167
44	-159.06035	50.751743	-125.28622	-254.86908	-179.13788	97.00043	-13.387551	-381.82614	200.0	200.0	175999	87.50088	41.804306	120.07438	-156.54126	-88.98093	54.515884	1029.114137172699
45	-149.52286	90.87701	-11.507268	-300.8014	-145.525	49.125404	-126.10485	-292.70117	200.0	200.0	179999	78.74542	43.17024	110.46216	-169.72478	-79.847435	45.24709	1052.9057881832123
46	-164.46599	74.7097	-9.268502	-351.48776	-129.74611	74.47834	-11.062637	-248.1713	200.0	200.0	183999	64.860146	40.89932	103.020355	-178.15833	-65.6338	32.62467	1076.3484680652618
47	-164.56288	85.04675	-12.898271	-350.94666	-165.1511	113.72691	-14.722385	-358.12424	200.0	200.0	187999	49.14372	38.569347	88.07517	-187.65883	-49.691616	21.798105	1099.8574633598328
48	-166.54031	101.12709	-10.711641	-366.00046	-168.32281	90.25643	-17.453331	-372.09402	200.0	200.0	191999	34.44868	37.365734	69.89113	-191.86476	-34.867336	14.235789	1123.7692818641663
49	-124.60636	56.076237	-17.459446	-290.2171	-180.55432	55.5049	-130.13257	-258.50436	200.0	200.0	195999	22.233887	37.014458	51.994984	-203.41605	-22.630436	9.730225	1147.0252289772034
50	-168.11646	71.79124	-18.386517	-355.59653	-147.75288	67.447525	-16.366602	-269.84485	200.0	200.0	199999	13.695696	37.486137	40.71958	-214.73387	-14.143695	7.310413	1169.8839268684387
51	-187.31902	91.429054	-19.472847	-363.05576	-105.23513	79.959335	-19.459568	-274.4264	200.0	200.0	203999	8.842151	38.501877	32.084026	-221.2946	-9.361304	6.2663107	1193.1261384487152
52	-181.14815	76.594864	-18.516792	-324.36035	-163.74176	89.946495	-10.317971	-355.04886	200.0	200.0	207999	6.792293	39.68595	31.770927	-229.6533	-7.3761873	6.9026337	1216.0546789169312
53	-174.7534	92.64689	-14.852728	-391.1352	-167.23581	77.76226	-15.030864	-270.46976	200.0	200.0	211999	5.728234	40.04068	31.240828	-232.50699	-6.29342	6.496752	1238.9601094722748
54	-153.3193	84.40707	-11.832462	-381.49536	-196.44623	104.675705	-11.562681	-343.9595	200.0	200.0	215999	5.2231584	40.20481	29.038525	-232.62807	-5.8031693	5.992502	1262.1052119731903
55	-123.309	85.689156	-10.56433	-336.77438	-123.593346	106.60786	-11.053921	-294.60403	200.0	200.0	219999	4.6426105	40.3354	29.394207	-237.29138	-5.207124	5.8819385	1285.3307960033417
56	-168.06694	71.4892	-124.44014	-342.58353	-129.59625	73.32571	-11.502794	-256.28055	200.0	200.0	223999	4.8220387	40.283173	29.299723	-236.59833	-5.4234962	6.4877186	1308.6031732559204
57	-127.49153	75.90961	-11.487578	-314.40427	-172.58069	101.70498	-12.439732	-351.05045	200.0	200.0	227999	5.188017	40.252884	29.354118	-237.35141	-5.7597	5.4092736	1332.3824925422668
58	-148.02313	83.306625	-12.859341	-254.31934	-130.11531	55.481087	-13.019838	-260.59903	200.0	200.0	231999	4.9324064	39.93237	27.936285	-236.87813	-5.4788074	5.721504	1355.61301779747
59	-148.61603	83.611244	-12.850014	-353.79086	-115.899376	34.850815	-11.550176	-131.71599	200.0	200.0	235999	4.2237005	39.976635	26.873434	-236.78331	-4.7493544	6.049883	1382.7979798316956
60	-142.18059	74.03004	-12.320447	-362.72665	-186.06197	77.44247	-14.149044	-253.12012	200.0	200.0	239999	3.8386378	39.677883	27.170084	-233.80493	-4.3793783	5.82456	1406.957204580307
61	-143.89304	99.79654	-12.660346	-341.9129	-120.02588	80.36475	-14.35068	-248.02454	200.0	200.0	243999	3.9179466	39.786476	29.289171	-237.81392	-4.459841	5.3695183	1431.649333000183
62	-154.63098	67.43707	-14.145047	-360.46225	-120.294106	59.99591	-14.427767	-231.00377	200.0	200.0	247999	3.7400713	39.543926	27.161127	-238.7136	-4.2330184	5.7030234	1456.0027356147766
63	-159.80978	85.401115	-13.978977	-312.45148	-127.22219	97.88548	-14.173907	-343.59863	200.0	200.0	251999	2.4649496	38.858295	26.517483	-238.70567	-2.8594415	5.356556	1479.772278547287
64	-159.63351	74.22128	-15.093529	-290.03745	-144.77664	60.312042	-16.110186	-244.85619	200.0	200.0	255999	-0.36812147	38.41904	23.12164	-239.7596	0.034843292	4.5982046	1504.942016839981
65	-144.94582	103.771996	-12.6993685	-368.67957	-210.11597	55.378292	-122.4632	-258.12158	200.0	200.0	259999	-2.2609363	38.200294	20.555302	-237.94469	1.8333172	4.784618	1529.6448616981506
66	-163.36179	93.55813	-8.8599205	-363.27112	-127.10553	54.234634	-6.5776153	-248.50722	200.0	200.0	263999	-0.91583407	39.303986	20.58695	-240.47195	0.31839398	4.3394823	1553.5475616455078
67	-134.66959	73.1649	-4.906041	-250.21924	-161.22168	78.06856	-5.491084	-275.92365	200.0	200.0	267999	3.1677454	40.994976	28.235964	-242.4334	-3.9383183	5.458033	1578.1673200130463
68	-158.01088	72.81249	-4.568788	-242.35597	-117.44344	80.11787	-4.4011016	-313.9606	200.0	200.0	271999	9.74513	42.20405	36.504776	-243.44774	-10.644473	7.246733	1602.2698893547058
69	-179.05966	84.21724	-6.087907	-371.3026	-168.87498	57.12902	-118.94543	-261.25507	200.0	200.0	275999	16.67739	42.839108	43.90354	-242.08849	-17.67917	8.704211	1627.4231860637665
70	-116.73192	84.05551	-6.109801	-245.47087	-171.47333	79.43396	-6.3064322	-274.2737	200.0	200.0	279999	23.446735	42.961178	49.69758	-240.3036	-24.511745	11.008945	1652.5758616924286
71	-133.47507	101.503716	-5.461841	-339.74222	-147.0726	87.39525	-5.6536665	-262.4975	200.0	200.0	283999	28.744184	42.70174	54.000515	-237.6822	-29.782515	13.0837145	1676.8955590724945
72	-129.66019	58.62676	-5.2972236	-248.3009	-155.15857	96.742805	-6.6070485	-302.63138	200.0	200.0	287999	32.59303	42.80319	57.140858	-231.41103	-33.65233	14.078956	1701.1315286159515
73	-131.50485	95.84765	-7.097719	-383.80435	-149.11797	72.2132	-7.8203845	-267.84344	200.0	200.0	291999	35.792027	42.619854	59.900005	-229.49449	-36.844814	14.912	1725.8707959651947
