Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-1199.4199	312.16287	-625.24695	-1725.6283	-159.38585	114.82921	-2.0231025	-401.39966	200.0	200.0	3999	-35.798946	26.56965	1.4946524	-107.01335	34.85733	7.3660884	8.948090553283691
2	-1284.529	291.9097	-761.1774	-1818.2563	-1296.1265	620.1486	-3.1971865	-1656.5404	200.0	200.0	7999	-89.69768	38.402454	-0.9774351	-187.10419	86.819466	42.968037	20.578261137008667
3	-1047.6497	591.69257	-2.145247	-1733.9413	-487.31696	532.53876	-1.9844265	-1309.2147	200.0	200.0	11999	-113.58247	53.849274	1.1819954	-222.92764	109.70117	71.94474	33.24257516860962
4	-230.82344	232.75049	-1.2139919	-1181.2872	-168.20558	97.54745	-1.0733259	-360.17194	200.0	200.0	15999	-102.7447	65.26687	5.886696	-233.93677	99.45348	67.934364	46.03191089630127
5	-125.83091	70.22024	-0.20177048	-251.6704	-121.18288	74.54913	-2.6960495	-240.65926	200.0	200.0	19999	-82.22709	78.218765	26.494041	-242.04817	78.91765	64.505646	58.10304260253906
6	-149.35318	74.08287	-2.9390144	-359.26382	-190.2345	76.94366	-115.404564	-346.00873	200.0	200.0	23999	-52.69171	86.85486	47.241123	-242.34462	49.31125	50.895897	68.75706243515015
7	-137.00253	65.33447	-1.0792269	-235.19952	-142.39818	46.54203	-114.86534	-239.04163	200.0	200.0	27999	-26.556786	86.533875	65.23397	-243.69324	23.468388	45.25221	79.68054151535034
8	-161.69304	96.853455	-0.04213491	-384.06238	-147.5256	77.2626	-0.05874822	-281.7207	200.0	200.0	31999	-5.099732	81.46338	83.25153	-234.84738	2.0507674	38.85098	91.180330991745
9	-132.34909	82.321014	-0.23405632	-344.953	-181.04367	80.949066	-118.97912	-356.78186	200.0	200.0	35999	10.324196	76.24116	95.09428	-220.64658	-12.974697	35.506763	102.10322594642639
10	-149.05496	90.04268	-2.2755487	-382.58923	-150.09225	81.25979	-3.9779778	-313.73132	200.0	200.0	39999	15.196177	68.34279	91.72873	-205.42682	-17.27271	29.38335	115.99293041229248
11	-141.6142	94.69627	-3.4835777	-369.99417	-138.35048	81.84022	-8.374561	-249.954	200.0	200.0	43999	12.806561	61.850986	76.80453	-194.83083	-14.533453	21.321148	128.8551685810089
12	-163.01671	66.20683	-11.316949	-290.3062	-93.01709	103.02963	-11.58422	-355.57443	200.0	200.0	47999	8.942715	58.40265	61.654114	-193.80826	-10.546364	18.652174	139.77520561218262
13	-213.05061	69.6288	-120.178246	-354.15906	-137.92523	84.59524	-9.39542	-369.6166	200.0	200.0	51999	4.5350256	57.824142	51.60186	-198.40773	-5.84363	16.629097	150.54618859291077
14	-149.7877	75.49917	-5.31645	-339.6399	-137.83586	60.91236	-9.828727	-241.99532	200.0	200.0	55999	4.1107836	59.197655	51.311234	-204.49821	-5.9780354	16.159422	162.4962432384491
15	-169.23163	90.12649	-9.685689	-346.56808	-163.0859	85.97635	-3.275357	-325.4907	200.0	200.0	59999	12.478786	62.7696	70.29963	-206.07742	-14.302699	21.1083	173.54652285575867
16	-140.97203	110.04576	-1.4448035	-383.24823	-125.856094	50.43085	-9.008491	-234.05774	200.0	200.0	63999	17.018839	62.060814	80.09828	-207.20436	-18.780613	23.546886	184.65454292297363
17	-159.87195	95.18282	-8.39624	-349.96072	-167.89673	68.47709	-124.247375	-330.4277	200.0	200.0	67999	26.375654	62.68607	82.77748	-208.04901	-28.54031	26.0462	195.22151947021484
18	-167.23997	74.30518	-123.314644	-350.8129	-138.16273	32.576775	-122.620995	-235.72107	200.0	200.0	71999	40.708393	64.59486	85.6205	-209.56198	-43.090126	33.20514	206.58855032920837
19	-190.90065	76.18949	-10.530452	-351.53433	-150.57335	85.84671	-10.759597	-248.73015	200.0	200.0	75999	47.7839	62.54987	89.233986	-204.76697	-49.58381	35.93857	218.7084710597992
20	-169.58627	75.3503	-10.7133	-354.30368	-171.65788	86.43398	-14.153581	-334.48813	200.0	200.0	79999	42.306694	56.951324	86.624245	-196.54344	-43.58358	29.40991	229.35252499580383
21	-159.08646	76.584305	-3.5329967	-304.03137	-116.41398	81.22582	-1.1436794	-314.48117	200.0	200.0	83999	32.87803	52.48883	73.77505	-190.06487	-34.002064	22.566633	239.9792685508728
22	-116.75403	83.811356	-0.84269196	-298.08243	-161.69064	73.72768	-11.943135	-249.59187	200.0	200.0	87999	27.66396	52.852375	59.195316	-194.87135	-28.83353	18.956125	251.11175632476807
23	-143.4248	58.979008	-7.2750964	-271.78683	-145.11063	86.07509	-4.2066617	-351.2318	200.0	200.0	91999	22.466793	52.990734	51.8329	-199.27937	-23.579407	17.864658	262.0195679664612
24	-146.56808	68.500206	-4.0675898	-247.32738	-142.89859	122.74296	-3.10331	-323.76984	200.0	200.0	95999	19.684855	53.707153	48.66689	-210.14372	-20.74319	15.394272	273.01096773147583
25	-149.49748	81.4092	-5.812604	-365.88486	-182.389	76.05107	-121.86331	-349.89893	200.0	200.0	99999	16.977594	52.78015	45.479305	-211.76685	-17.979385	16.443832	283.8911428451538
26	-143.39536	101.19423	-7.1987643	-359.95215	-153.72377	73.310005	-9.914365	-273.65857	200.0	200.0	103999	14.233318	51.5956	41.643803	-211.5664	-15.141603	14.813759	294.7100431919098
27	-173.35306	83.36713	-9.8887	-333.15274	-120.34529	50.706806	-3.1733925	-229.3283	200.0	200.0	107999	10.063197	50.325214	38.1218	-215.69643	-10.813446	12.76449	305.7877080440521
28	-184.70563	85.42128	-2.9749696	-354.7738	-146.42151	43.43797	-119.412094	-235.49709	200.0	200.0	111999	6.4208612	49.43582	33.029896	-216.64188	-7.2171555	10.8454685	317.1181790828705
29	-146.95053	99.21467	-4.155068	-358.35864	-169.77293	57.581448	-118.48264	-249.81885	200.0	200.0	115999	3.5987294	48.95579	29.057205	-219.58	-4.342536	10.585889	328.01924562454224
30	-152.56998	100.98628	-6.7325335	-336.57736	-147.9896	68.098076	-9.03065	-247.16248	200.0	200.0	119999	1.6552078	48.496716	26.72499	-220.90747	-2.3996904	10.203883	339.1960070133209
31	-165.21162	90.9238	-6.093615	-364.65567	-175.37883	84.36608	-8.493047	-315.75345	200.0	200.0	123999	0.41469207	48.18851	25.107523	-224.86461	-1.1590582	8.442355	349.70616817474365
32	-106.10028	54.875397	-5.6751847	-229.91818	-124.9066	83.24805	-7.1796374	-328.83035	200.0	200.0	127999	-0.41067117	48.07554	23.194544	-225.2643	-0.3099736	9.823535	360.18425965309143
33	-148.13606	71.375496	-5.61094	-259.8724	-118.12169	95.283676	-5.489436	-306.11627	200.0	200.0	131999	-0.85466975	47.22533	23.15874	-226.94861	0.16303873	8.811637	371.7227420806885
34	-122.51727	64.15984	-4.4425707	-243.47202	-144.58084	97.74996	-5.5494375	-340.52335	200.0	200.0	135999	-1.3221936	46.80921	21.397203	-225.33517	0.6381931	9.636841	382.81661319732666
35	-172.36815	87.51881	-4.2956867	-359.4699	-146.87114	69.96512	-5.927877	-246.40758	200.0	200.0	139999	-1.6961861	46.821316	20.570072	-227.54678	1.0309063	7.6658897	394.2252607345581
36	-146.47215	105.58259	-5.4996777	-363.961	-184.6477	95.783646	-5.9946184	-338.50397	200.0	200.0	143999	-2.3510444	46.54974	20.511091	-228.5935	1.7548078	8.382639	405.5726947784424
37	-178.3583	92.503815	-4.0383677	-358.3215	-156.54245	73.6517	-3.1032827	-246.07983	200.0	200.0	147999	-3.6895497	45.94318	18.887318	-227.98694	3.1469607	7.5915647	418.3298568725586
38	-145.595	96.20508	-2.1997867	-351.17422	-179.2553	59.464993	-116.30751	-250.98055	200.0	200.0	151999	-5.469174	45.847923	16.631557	-229.49655	4.9334383	6.8653493	431.6200008392334
39	-167.80191	56.57807	-116.51652	-253.73888	-111.09397	36.41421	-2.2746487	-126.77507	200.0	200.0	155999	-6.49862	45.6301	16.234514	-232.71014	5.9866242	6.095283	442.2340438365936
40	-160.42697	100.02655	-1.4131876	-366.86407	-141.89241	85.69668	-0.8865953	-234.62602	200.0	200.0	159999	-7.140364	45.12395	15.903149	-231.41367	6.6093087	6.852572	453.1642806529999
41	-160.94882	65.98095	-2.7329793	-243.14697	-154.35628	54.220585	-114.63393	-239.21555	200.0	200.0	163999	-7.3951187	44.93364	17.540653	-232.04723	6.8865128	6.69972	464.2546274662018
42	-136.7048	89.462685	-0.7311645	-340.51343	-139.6181	83.65101	-1.6414869	-232.43864	200.0	200.0	167999	-7.8490577	44.81304	16.068514	-233.55276	7.344876	6.3408585	474.8138704299927
43	-119.4808	82.98384	-0.40845823	-242.4908	-107.999435	35.91112	-0.49242467	-123.8563	200.0	200.0	171999	-7.7016954	44.54166	16.896189	-232.85223	7.179458	6.4804544	485.21702122688293
44	-163.1503	55.662247	-118.757545	-268.97043	-155.06271	105.19182	-0.41527313	-349.07513	200.0	200.0	175999	-7.131795	44.50005	18.143372	-234.07446	6.60309	6.0573955	496.3919925689697
45	-144.95045	80.29443	-0.90478945	-360.92377	-109.870705	65.62489	-0.19839281	-244.04845	200.0	200.0	179999	-6.49378	44.31069	19.46262	-233.91017	5.9781985	6.2670693	506.91048550605774
46	-148.75522	85.60248	-0.10141565	-309.67603	-168.66304	58.693993	-115.411255	-252.63199	200.0	200.0	183999	-6.342999	44.057926	19.537594	-233.28975	5.845988	6.824519	517.4603772163391
47	-144.05246	86.852554	-0.6299061	-343.7692	-106.73991	82.10026	-0.2622636	-236.41953	200.0	200.0	187999	-6.079635	43.914898	22.0528	-235.26556	5.5653505	6.6357017	528.3691844940186
48	-140.582	111.45017	-0.3745051	-367.17422	-129.22371	79.760864	-0.30316263	-236.69087	200.0	200.0	191999	-5.6520557	43.41996	21.400291	-235.27702	5.1538377	5.624152	538.9352943897247
49	-213.76453	83.96662	-120.09686	-364.00195	-184.20291	80.755005	-117.17212	-322.41693	200.0	200.0	195999	-5.415413	43.03242	22.18175	-232.20432	4.8838267	5.697433	549.2559676170349
50	-161.39081	91.451904	-1.3499998	-315.62656	-138.3384	79.11802	-12.575025	-246.90744	200.0	200.0	199999	-3.8588874	43.44445	24.965378	-231.01465	3.2399898	6.6951766	562.444189786911
51	-145.6672	61.282833	-17.630892	-261.8383	-124.383606	80.94315	-18.859385	-258.53598	200.0	200.0	203999	-1.2253864	43.616665	24.684519	-231.0201	0.5869844	6.462381	573.8651909828186
52	-167.92885	72.62956	-21.592043	-262.61105	-194.46426	78.17952	-132.47751	-381.19943	200.0	200.0	207999	1.4471674	44.3139	26.96338	-232.15947	-2.2083418	6.1889677	584.9366376399994
53	-121.643265	65.799706	-13.136096	-278.9	-152.7964	47.59828	-124.215126	-248.7165	200.0	200.0	211999	7.6966763	45.55965	34.4138	-230.87236	-8.739204	7.937662	596.1942453384399
54	-129.39078	53.68281	-11.287566	-259.19058	-126.61538	101.38486	-11.825826	-242.15446	200.0	200.0	215999	15.679522	46.387074	39.875053	-228.32463	-16.734983	9.885012	607.0796959400177
55	-171.49582	66.7539	-122.8596	-368.18927	-185.29276	73.64255	-125.358315	-352.6571	200.0	200.0	219999	20.759813	46.386726	43.53676	-224.00566	-21.754906	11.763055	618.148716211319
56	-122.04356	68.96656	-9.736195	-248.9594	-142.33994	65.69546	-12.248497	-257.67975	200.0	200.0	223999	24.210207	46.204815	47.66335	-222.5729	-25.21499	13.152148	629.3634102344513
57	-140.80228	59.278057	-15.050306	-245.03185	-185.38396	56.889977	-123.49152	-251.21675	200.0	200.0	227999	27.210548	45.668907	50.507847	-219.3216	-28.204523	13.686054	640.1019744873047
58	-133.0596	80.39454	-12.1806555	-312.2138	-153.38554	71.23884	-11.9349375	-261.53397	200.0	200.0	231999	29.171667	45.645885	52.06736	-216.81386	-30.168406	14.470211	651.0280694961548
59	-178.02647	81.47693	-14.405129	-346.34354	-177.3612	94.53737	-12.7807865	-370.8074	200.0	200.0	235999	30.470787	45.333908	53.267365	-217.0893	-31.417692	14.693697	661.9987790584564
60	-159.49127	97.00361	-12.047658	-340.3869	-162.28377	101.947655	-12.05979	-347.54633	200.0	200.0	239999	30.220778	44.725975	53.782066	-216.01428	-31.146599	14.945137	672.9210276603699
61	-170.47464	84.13075	-14.582199	-387.73526	-188.28844	103.97132	-13.242382	-331.2554	200.0	200.0	243999	29.787575	44.73415	53.27965	-215.88934	-30.658106	13.420423	683.1066334247589
62	-171.72673	86.94467	-10.9848385	-287.47943	-127.53574	70.43896	-12.42942	-238.06158	200.0	200.0	247999	28.977053	44.290504	52.06783	-216.39818	-29.827644	14.183826	693.3606042861938
63	-160.2291	86.78459	-10.094325	-339.48688	-128.99466	75.247505	-10.112669	-258.21164	200.0	200.0	251999	28.059402	43.83096	51.24253	-214.04819	-28.841785	13.317327	703.605770111084
64	-131.20566	96.4889	-10.177878	-363.5519	-126.60238	74.80283	-8.3291025	-253.7407	200.0	200.0	255999	26.924452	43.882725	49.308403	-217.99344	-27.767302	12.121518	714.0686147212982
65	-175.94922	74.93665	-7.8189235	-334.4924	-159.86484	73.72718	-7.789466	-246.83127	200.0	200.0	259999	26.252403	43.800503	49.635994	-220.17564	-27.018211	12.3306055	724.742627620697
66	-170.63441	65.10399	-10.619795	-248.89581	-148.92554	68.95728	-11.019984	-250.11662	200.0	200.0	263999	24.487318	43.11838	48.850925	-220.38799	-25.24241	11.177752	735.3023488521576
67	-186.53531	86.864525	-12.120819	-349.8721	-165.67966	54.238514	-127.21175	-256.3628	200.0	200.0	267999	21.853378	42.168358	44.98635	-222.36435	-22.413898	9.929258	746.1019184589386
68	-167.70561	64.92789	-10.875644	-258.39825	-153.6599	73.34354	-11.837508	-270.92554	200.0	200.0	271999	17.16236	41.142075	43.968338	-218.48036	-17.652597	8.495804	757.2181963920593
69	-170.80142	63.54184	-12.603533	-256.73538	-143.50345	97.52235	-14.032597	-263.81628	200.0	200.0	275999	13.826155	40.970627	33.846165	-220.81184	-14.455372	7.3973203	768.0222396850586
70	-133.68237	92.14528	-12.724024	-368.60785	-172.91263	96.21232	-18.291172	-392.5623	200.0	200.0	279999	18.46259	43.632694	55.5089	-226.6007	-19.799805	9.825341	779.0596919059753
71	-133.50644	65.14313	-14.651452	-259.8532	-131.43431	52.27303	-13.55733	-246.91927	200.0	200.0	283999	47.428	55.377636	127.7815	-226.69826	-51.06832	31.233414	789.7191491127014
72	-141.83449	93.82052	-13.952729	-340.40564	-177.06499	54.486584	-129.9666	-249.82762	200.0	200.0	287999	109.89218	68.44669	175.18549	-224.48665	-114.363205	98.16652	800.218252658844
73	-143.45566	71.52407	-15.508843	-252.84279	-142.4359	78.97449	-15.998757	-251.49916	200.0	200.0	291999	139.0904	61.57068	191.55544	-219.08098	-142.05537	127.077805	810.9217791557312
74	-142.45999	86.79028	-14.966986	-346.76138	-132.14636	3.0359817	-126.148674	-136.2645	200.0	200.0	295999	149.0877	54.481724	219.18562	-189.58664	-152.21063	146.61766	821.9261801242828
75	-134.14078	86.13169	-14.099522	-290.68463	-119.205124	94.98175	-14.906598	-251.5102	200.0	200.0	299999	165.8892	54.42323	244.11548	-151.40253	-169.551	168.98529	832.2134199142456
76	-154.25269	76.60222	-15.000848	-346.3301	-145.37582	83.460915	-15.631699	-263.53598	200.0	200.0	303999	177.01665	52.898556	252.88185	-136.35068	-180.09502	193.98706	843.0437679290771
77	-136.28452	65.72365	-16.050245	-245.06677	-130.50694	72.059814	-13.775375	-244.22263	200.0	200.0	307999	173.59772	47.46861	246.90764	-127.06396	-176.42628	181.40163	853.873434305191
78	-128.57707	83.94384	-14.802561	-325.57028	-131.7125	73.015495	-14.151093	-251.89299	200.0	200.0	311999	168.21776	45.254726	236.26978	-109.35049	-170.7348	174.5468	864.675701379776
79	-156.21335	78.30517	-15.968749	-258.87985	-144.12561	61.161148	-17.53527	-250.13954	200.0	200.0	315999	156.5115	43.069374	229.00519	-107.62204	-158.4295	145.23793	875.4152896404266
80	-205.29404	122.157196	-20.23351	-608.87036	-97.65294	47.533493	-2.2288184	-128.10439	200.0	200.0	319999	145.59364	40.618042	210.56308	-116.014595	-148.16125	127.51445	886.5671751499176
81	-190.99661	106.47317	-3.0649517	-365.3672	-172.62381	66.14298	-118.38932	-289.61877	200.0	200.0	323999	138.42242	40.824844	177.73119	-119.04215	-140.09547	113.57039	897.4212160110474
82	-126.02866	67.90923	-1.6128302	-239.55365	-142.17989	66.685745	-2.4696019	-233.89157	200.0	200.0	327999	116.97628	39.04052	156.12494	-130.43336	-118.081825	86.82375	908.1754357814789
83	-180.95938	85.42688	-2.2605658	-351.10107	-134.53831	97.86381	-3.3264477	-361.3178	200.0	200.0	331999	99.24747	38.74361	128.59337	-142.14998	-100.45964	64.814735	918.8300213813782
84	-135.00803	70.89979	-3.3331187	-236.77478	-118.46735	83.30533	-9.297983	-253.24104	200.0	200.0	335999	86.66079	39.900646	110.569664	-158.95865	-87.87317	52.025883	929.6610102653503
85	-175.06389	92.05323	-8.780358	-361.0929	-125.57048	98.36988	-8.619716	-329.53976	200.0	200.0	339999	76.691216	41.097004	102.64111	-169.83168	-77.73923	43.73425	941.8215169906616
86	-150.41779	69.957535	-8.778093	-260.28674	-142.50385	87.077774	-3.1476278	-247.98245	200.0	200.0	343999	67.18782	41.297585	98.49882	-177.50479	-68.07698	33.592148	952.3421909809113
87	-203.78165	82.90144	-118.548164	-359.74738	-161.53305	74.11399	-5.29116	-260.41318	200.0	200.0	347999	56.824566	39.529667	90.88516	-185.17041	-57.59206	26.077192	962.6126012802124
88	-197.71175	74.191956	-116.98801	-363.07025	-175.95514	106.97936	-1.1208858	-352.23932	200.0	200.0	351999	46.915634	38.42861	73.768166	-191.32442	-47.532833	20.108707	973.1429507732391
89	-152.69661	69.201065	-3.112438	-342.40225	-99.450745	88.09517	-2.1337502	-236.64294	200.0	200.0	355999	36.581974	37.02443	60.80266	-197.4779	-37.072853	14.442489	983.8840479850769
90	-112.57316	75.44915	-0.46471575	-229.49907	-122.21342	50.885586	-1.2112269	-227.59474	200.0	200.0	359999	27.10668	36.351192	50.125294	-203.72726	-27.544329	10.002469	995.1016597747803
91	-156.02835	73.735	-4.81518	-250.67638	-143.88293	94.25167	-4.325695	-320.25955	200.0	200.0	363999	20.145868	36.674484	41.73388	-209.4333	-20.583437	8.392879	1005.362277507782
92	-160.04303	93.71758	-3.5548694	-369.77563	-137.2208	98.69642	-2.5761425	-361.64926	200.0	200.0	367999	14.172671	36.795536	35.76355	-218.24013	-14.56724	6.5530887	1016.1835422515869
93	-152.3516	67.74872	-5.7725673	-332.25262	-136.49721	80.004875	-4.5824637	-244.18808	200.0	200.0	371999	10.14988	37.22472	29.664227	-221.27676	-10.57359	5.816589	1027.2457494735718
94	-165.0472	64.236916	-5.267743	-252.04544	-136.74832	81.23291	-4.709587	-246.73897	200.0	200.0	375999	6.8395925	37.206535	23.783978	-222.28233	-7.203268	4.913409	1037.9244797229767
95	-168.83649	67.71733	-4.639337	-292.82153	-106.5556	82.77467	-6.2180057	-300.08173	200.0	200.0	379999	3.9353018	37.272964	22.29608	-226.9291	-4.304125	4.6948915	1048.8365206718445
96	-166.36429	84.695244	-6.4186983	-359.21594	-176.8719	74.71831	-129.83449	-366.343	200.0	200.0	383999	1.9128263	37.487217	19.410875	-227.91534	-2.2555723	4.633992	1060.0162181854248
97	-196.73361	100.38756	-7.0980306	-382.42984	-148.7895	68.749115	-5.3306704	-240.33989	200.0	200.0	387999	0.06142008	37.548668	17.793085	-231.10965	-0.4068691	4.2963524	1071.1199343204498
98	-109.74878	101.06266	-5.2418017	-370.93567	-142.75803	36.706413	-123.661545	-252.1825	200.0	200.0	391999	-0.8249149	37.947136	15.84132	-232.82674	0.46187073	4.5837545	1081.9296243190765
99	-168.15602	88.99184	-9.0674715	-330.0711	-169.01859	110.147446	-9.134673	-375.59586	200.0	200.0	395999	-1.6197622	38.045227	16.62721	-234.23561	1.268238	4.0163693	1092.5956201553345
100	-135.5781	83.61536	-7.797967	-360.58844	-188.53372	92.82303	-11.270491	-364.60107	200.0	200.0	399999	-2.0404074	38.146786	14.750278	-235.81648	1.6825465	4.1128654	1103.6496872901917
101	-150.4025	88.05088	-6.427748	-331.73676	-147.3162	86.80848	-9.514812	-362.09174	200.0	200.0	403999	-2.5022068	38.187138	15.342203	-236.14859	2.1442041	4.0688534	1119.2557439804077
102	-125.77578	82.64054	-6.2563553	-248.0047	-125.18124	72.639275	-7.0079126	-239.02774	200.0	200.0	407999	-2.1806781	37.974678	14.673647	-235.89209	1.808275	4.597032	1131.3768401145935
103	-148.82089	102.031044	-6.338641	-335.24686	-101.07066	70.69421	-5.5089135	-238.10164	200.0	200.0	411999	-1.7427245	38.487396	14.464366	-235.37453	1.3421153	4.2263603	1142.1140749454498
104	-160.61366	81.41858	-6.3759055	-353.87997	-168.9875	52.02246	-122.26578	-238.14963	200.0	200.0	415999	-1.2077086	38.601048	16.090918	-237.84917	0.846551	4.9088173	1153.95197057724
105	-170.5149	64.439095	-118.25943	-333.8395	-156.83163	74.50486	-1.667012	-245.75574	200.0	200.0	419999	-1.6596478	38.202595	15.437319	-237.88213	1.3212266	4.146758	1165.3562905788422
106	-164.18892	84.14041	-2.5792716	-361.858	-146.90298	70.70057	-1.3861998	-248.46912	200.0	200.0	423999	-2.1229184	38.025055	15.263763	-238.698	1.7975869	4.1492443	1177.8608195781708
107	-162.61575	107.66272	-1.3431697	-363.17923	-147.49362	49.281624	-118.43135	-252.46222	200.0	200.0	427999	-2.7511616	37.735405	13.934214	-237.53224	2.4168003	3.5696266	1188.6932036876678
108	-141.43985	102.67708	-1.5733514	-370.69644	-135.1062	59.412727	-5.0718555	-235.68019	200.0	200.0	431999	-3.1050527	37.71168	18.328186	-237.63875	2.7984734	3.8860996	1200.859205007553
109	-159.74619	64.24101	-4.4364023	-251.55132	-142.91995	86.74724	-0.3212477	-245.76398	200.0	200.0	435999	-3.9499502	37.60541	13.125948	-239.20332	3.68055	3.1833599	1211.7736880779266
110	-146.74538	79.985085	-3.3182008	-250.43808	-150.85046	43.190308	-123.20951	-239.43196	200.0	200.0	439999	-5.612903	37.353123	11.921422	-238.9593	5.3949523	3.246751	1223.1079416275024
111	-149.50647	92.756714	-2.3228104	-351.65973	-120.09526	49.1801	-1.3442396	-219.52815	200.0	200.0	443999	-7.228441	37.088108	10.3509445	-238.74527	7.0207577	3.2716303	1236.000583410263
112	-186.60579	76.93194	-117.73366	-370.88516	-168.27417	72.62838	-17.712765	-252.77007	200.0	200.0	447999	-8.4230175	37.169106	10.212445	-242.8979	8.179557	2.7863789	1246.8874769210815
113	-154.91914	72.06771	-13.06473	-390.96088	-188.24756	116.18236	-6.315611	-396.5686	200.0	200.0	451999	-8.913383	37.098522	8.043361	-244.38568	8.711867	3.0330443	1257.7911870479584
114	-165.28056	86.31462	-2.4524488	-362.7308	-125.30424	53.89322	-3.7834284	-244.15518	200.0	200.0	455999	-10.222444	36.507618	7.241502	-241.85733	10.054247	3.7226622	1270.2358186244965
115	-150.44395	90.56181	-5.7432065	-370.35095	-145.74434	122.39163	-7.491102	-358.82175	200.0	200.0	459999	-11.159239	37.046463	5.975725	-243.54405	10.920729	2.3995085	1281.7701361179352
116	-153.03265	97.76763	-1.0902379	-361.46933	-198.91817	79.552	-120.65339	-328.66843	200.0	200.0	463999	-10.131126	37.2564	8.683189	-244.49915	9.850064	3.2270262	1292.6980690956116
